2026-07-16 14:39:49.867 [main] INFO  c.e.permmenu.PermMenuApplication - Starting PermMenuApplication using Java 17.0.12 on fydeMacBook-Air.local with PID 48282 (/Users/ericyang/.gemini/antigravity/scratch/perm-menu-manager/backend/target/classes started by ericyang in /Users/ericyang/.gemini/antigravity/scratch/perm-menu-manager/backend)
2026-07-16 14:40:13.868 [http-nio-8080-exec-2] INFO  c.e.p.service.impl.MenuServiceImpl - 【查询菜单树】menuScope: [11], tenantId: [047], tableName: [perm_menu], subsystemCode: [ITS_PORTAL]
2026-07-16 14:40:13.873 [http-nio-8080-exec-3] DEBUG c.e.p.m.E.selectActiveLocks - ==>  Preparing: SELECT ID, LOCKED_BY, LOCKED_AT, TEMP_TABLE_NAME, STATUS, SUBSYSTEM_CODE FROM perm_menu_edit_lock WHERE STATUS = 'LOCKED' AND LOCKED_AT >= DATE_SUB(NOW(), INTERVAL ? HOUR)
2026-07-16 14:40:13.885 [http-nio-8080-exec-3] DEBUG c.e.p.m.E.selectActiveLocks - ==> Parameters: 2(Integer)
2026-07-16 14:40:13.903 [http-nio-8080-exec-3] DEBUG c.e.p.m.E.selectActiveLocks - <==      Total: 0
2026-07-16 14:40:13.946 [http-nio-8080-exec-2] DEBUG c.e.p.m.PermMenuMapper.selectByScope - ==>  Preparing: SELECT TENANT_ID, STAT, MENU_SCOPE, MENU_CODE, MENU_NAME, MENU_LEVEL, MENU_TYPE, UPP_MENU_CODE, MENU_CHECKED, MENU_KIND, MENU_VERIFY, MENU_DISPLAY, TR_CODE, SECURITY_TR_CODE, CTRL_ATTI, BIZ_ATTI, ACCT_AUTH_ATTI, ASAC_AUTH_ATTI, TIME_ATTI, WORKFLOW_FLAG, WORKFLOW_BIZ_TYPE, IS_ADMIN, IS_OPERATOR, IS_USER, SORT_NO, SUBSYSTEM_CODE, FOLDER_CODE, BIZ_CATEGORY_NO, BIZ_CATEGORY_NAME, MENU_ICON, MENU_HERF_TYPE, MENU_HERF, MENU_ATTRIBUTE, ICON_FLAG, IS_KEEP_ALIVE, JUMP_HERF, TB_VERSION, DESCRIPTION FROM perm_menu WHERE MENU_SCOPE = ? AND TENANT_ID = ? AND SUBSYSTEM_CODE = ? ORDER BY SORT_NO
2026-07-16 14:40:13.947 [http-nio-8080-exec-2] DEBUG c.e.p.m.PermMenuMapper.selectByScope - ==> Parameters: 11(String), 047(String), ITS_PORTAL(String)
2026-07-16 14:40:13.970 [http-nio-8080-exec-2] DEBUG c.e.p.m.PermMenuMapper.selectByScope - <==      Total: 493
2026-07-16 14:40:13.971 [http-nio-8080-exec-2] DEBUG c.e.p.m.P.selectMountedMenuCodes - ==>  Preparing: SELECT DISTINCT MENU_CODE FROM perm_feature_menu WHERE MENU_SCOPE = ? AND TENANT_ID = ?
2026-07-16 14:40:13.971 [http-nio-8080-exec-2] DEBUG c.e.p.m.P.selectMountedMenuCodes - ==> Parameters: 11(String), 047(String)
2026-07-16 14:40:13.979 [http-nio-8080-exec-2] DEBUG c.e.p.m.P.selectMountedMenuCodes - <==      Total: 1931
2026-07-16 14:40:58.090 [http-nio-8080-exec-4] INFO  c.e.permmenu.config.EnvInterceptor - 【多数据源切面】请求路径: [/perm-menu-manager/api/flow-ump-config/page], Header X-Env-ID: [SIT], 动态切换数据源到: [SIT_second]
2026-07-16 14:40:58.157 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList_mpCount - ==>  Preparing: SELECT COUNT(*) AS total FROM itsp_flow_ump_config
2026-07-16 14:40:58.157 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList_mpCount - ==> Parameters: 
2026-07-16 14:40:58.163 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList_mpCount - <==      Total: 1
2026-07-16 14:40:58.164 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList - ==>  Preparing: SELECT CFG_ID AS cfgId,TR_CODE AS trCode,TR_NAME AS trName,TR_DESC AS trDesc,OPER_COMMAND AS operCommand,FLOW_STATUS AS flowStatus,ORDER_STEP AS orderStep,NEXT_STEP AS nextStep,ESC_CODE AS escCode,EDIT_FLAG AS editFlag,EXCHANGE,ROUTING_KEY AS routingKey,MSG_TYPE AS msgType,MSG_SYS_ID AS msgSysId,BUSINESS_TYPE AS businessType,LAYER_CODE AS layerCode,MER_DISE_CODE AS merDiseCode,FUNC_CODE AS funcCode,CHILD_NEXT_STEP AS childNextStep,CONDITION_EXPR AS conditionExpr,UMP_TENANTID AS umpTenantid FROM itsp_flow_ump_config LIMIT ?
2026-07-16 14:40:58.164 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList - ==> Parameters: 10(Long)
2026-07-16 14:40:58.169 [http-nio-8080-exec-4] DEBUG c.e.p.m.I.selectList - <==      Total: 10
2026-07-16 14:53:40.821 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2026-07-16 14:53:40.821 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - SIT_master - Shutdown initiated...
2026-07-16 14:53:40.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - SIT_master - Shutdown completed.
2026-07-16 14:53:40.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - SIT_second - Shutdown initiated...
2026-07-16 14:53:40.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - SIT_second - Shutdown completed.
2026-07-16 14:53:40.827 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2026-07-16 14:53:40.828 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2026-07-16 14:53:40.828 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - second - Shutdown initiated...
2026-07-16 14:53:40.828 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - second - Shutdown completed.
2026-07-16 14:53:40.828 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
